player_id,player_slug,player_name,player_image_url,name_in_home_country,date_of_birth,place_of_birth,country_of_birth,height,citizenship,is_eu,position,main_position,foot,current_club_id,current_club_name,joined
1000273,nimfasha-berchimas,Nimfasha Berchimas (1000273),https://img.a.transfermarkt.technology/portrait/header/1000273-1740509304.jpg,,2008-02-22,,,172.0,United States  Burundi,False,Attack - Left Winger,Attack,right,78435,Charlotte FC,2022-11-17
1000284,jed-drew,Jed Drew (1000284),https://img.a.transfermarkt.technology/portrait/header/1000284-1707822625.jpg,Jed Francis Drew,2003-08-29,Canberra,Australia,176.0,Australia,False,Attack - Right Winger,Attack,right,4467,TSV Hartberg,2025-02-02
1000301,ethan-kohler,Ethan Kohler (1000301),https://img.a.transfermarkt.technology/portrait/header/1000301-1752744465.jpg,Ethan David Kohler,2005-05-20,"Campbell, California",United States,183.0,United States,False,Defender - Centre-Back,Defender,,93,SC Verl,2025-07-01
1001362,max-vartuli,Max Vartuli (1001362),https://img.a.transfermarkt.technology/portrait/header/default.jpg,,2005-01-20,,,192.0,Australia  Italy,True,Goalkeeper,Goalkeeper,left,875,Adelaide United,2024-09-15
1001531,gilberto-flores,Gilberto Flores (1001531),https://img.a.transfermarkt.technology/portrait/header/1001531-1741200661.jpg,Gilberto Ivan Flores Melgarejo,2003-04-01,Asunción,Paraguay,180.0,Paraguay,False,Defender - Centre-Back,Defender,right,51772,FC Cincinnati,2025-01-31
1002462,gabriele-finocchiaro,Gabriele Finocchiaro (1002462),https://img.a.transfermarkt.technology/portrait/header/1002462-1707405769.jpg,,2006-03-16,Acireale,Italy,0.0,Italy,True,Attack - Left Winger,Attack,right,11008,Juventus Primavera,2023-07-01
1003434,kristofers-baumanis,Kristofers Baumanis (1003434),https://img.a.transfermarkt.technology/portrait/header/default.jpg,,2006-01-22,,,183.0,Latvia,True,Defender - Left-Back,Defender,left,57979,FC RFS II,2025-08-18
1003925,henrijs-auseklis,Henrijs Auseklis (1003925),https://img.a.transfermarkt.technology/portrait/header/1003925-1757602769.jpg,,2006-12-19,Riga,Latvia,196.0,Latvia,True,Goalkeeper,Goalkeeper,right,11676,Cagliari Primavera,2024-04-22
1004327,min-hyeok-yang,Min-hyeok Yang (1004327),https://img.a.transfermarkt.technology/portrait/header/1004327-1731558430.jpg,양민혁,2006-04-16,Gwangju,"Korea, South",176.0,"Korea, South",False,Attack - Right Winger,Attack,right,1020,Portsmouth FC,2025-08-08
1004331,min-woo-kang,Min-woo Kang (1004331),https://img.a.transfermarkt.technology/portrait/header/default.jpg,강민우,2006-03-02,Ulsan,"Korea, South",186.0,"Korea, South",False,Defender - Centre-Back,Defender,,46736,Jong Genk,2025-08-23
