club_id,club_slug,club_name,logo_url,country_name,season_id,competition_id,competition_slug,competition_name,club_division,source_url,_last_modified_at
100431,napoli-under-18,Napoli Under 18 (100431),https://tmssl.akamaized.net//images/wappen/head/100431.png?lm=1753167643,Italy,2021,ITJ7,campionato-nazionale-under-18,Campionato Under 18,Campionato Under 18,https://www.transfermarkt.com/napoli-under-18/startseite/verein/100431/saison_id/2021,2025-09-13 09:55:03
10010,esporte-clube-bahia,Esporte Clube Bahia (10010),https://tmssl.akamaized.net//images/wappen/head/10010.png?lm=1412879423,Brazil,2006,BRA1,campeonato-brasileiro-serie-a,Campeonato Brasileiro Série A,Campeonato Brasileiro Série A,https://www.transfermarkt.com/esporte-clube-bahia/startseite/verein/10010/saison_id/2006,2025-09-13 11:59:31
1,1-fc-saarbrucken,1.FC Saarbrücken (1),https://tmssl.akamaized.net//images/wappen/head/1.png?lm=1657876202,Germany,2002,L3,3-liga,3. Liga,3. Liga,https://www.transfermarkt.com/1-fc-saarbrucken/startseite/verein/1/saison_id/2002,2025-09-13 10:41:56
10,arminia-bielefeld,Arminia Bielefeld (10),https://tmssl.akamaized.net//images/wappen/head/10.png?lm=1629204733,Germany,2008,L2,2-bundesliga,2. Bundesliga,2. Bundesliga,https://www.transfermarkt.com/arminia-bielefeld/startseite/verein/10/saison_id/2008,2025-09-13 09:26:57
1010,fc-watford,Watford FC (1010),https://tmssl.akamaized.net//images/wappen/head/1010.png?lm=1468103673,England,2015,GB2,championship,Championship,Championship,https://www.transfermarkt.com/fc-watford/startseite/verein/1010/saison_id/2015,2025-09-13 09:42:38
100631,monopoli-primavera,Monopoli Primavera (100631),https://tmssl.akamaized.net//images/wappen/head/100631.png?lm=1659426470,Italy,2022,IJ2B,primavera-2b,Primavera 2 - B,Primavera 2 - B,https://www.transfermarkt.com/monopoli-primavera/startseite/verein/100631/saison_id/2022,2025-09-13 09:08:50
10004,paris-fc,Paris FC (10004),https://tmssl.akamaized.net//images/wappen/head/10004.png?lm=1411995262,France,2008,FR1,ligue-1,Ligue 1,Ligue 1,https://www.transfermarkt.com/paris-fc/startseite/verein/10004/saison_id/2008,2025-09-13 10:06:09
102,vfb-stuttgart-ii,VfB Stuttgart II (102),https://tmssl.akamaized.net//images/wappen/head/102.png?lm=1680587428,Germany,2015,L3,3-liga,3. Liga,3. Liga,https://www.transfermarkt.com/vfb-stuttgart-ii/startseite/verein/102/saison_id/2015,2025-09-13 10:37:22
1005,us-lecce,US Lecce (1005),https://tmssl.akamaized.net//images/wappen/head/1005.png?lm=1689169528,Italy,2023,IT1,serie-a,Serie A,Serie A,https://www.transfermarkt.com/us-lecce/startseite/verein/1005/saison_id/2023,2025-09-13 09:22:39
1023,se-palmeiras-sao-paulo,Sociedade Esportiva Palmeiras (1023),https://tmssl.akamaized.net//images/wappen/head/1023.png?lm=1411204983,Brazil,2007,BRA1,campeonato-brasileiro-serie-a,Campeonato Brasileiro Série A,Campeonato Brasileiro Série A,https://www.transfermarkt.com/se-palmeiras-sao-paulo/startseite/verein/1023/saison_id/2007,2025-09-13 11:56:15
1003,leicester-city,Leicester City (1003),https://tmssl.akamaized.net//images/wappen/head/1003.png?lm=1472229265,England,2002,GB2,championship,Championship,Championship,https://www.transfermarkt.com/leicester-city/startseite/verein/1003/saison_id/2002,2025-09-13 09:32:48
1020,fc-portsmouth,Portsmouth FC (1020),https://tmssl.akamaized.net//images/wappen/head/1020.png?lm=1565282045,England,2008,GB2,championship,Championship,Championship,https://www.transfermarkt.com/fc-portsmouth/startseite/verein/1020/saison_id/2008,2025-09-13 09:22:43
